"ID";"ScreenTime";"ClosenessPopulistParty"
"1";3;15000;1.17647058823529
"2";4;14861;1.29411764705882
"3";5;14861;1.29411764705882
"4";9;14699;1.05882352941177
"5";12;14560;3.17647058823529
"6";14;14560;3.23529411764706
"7";15;14560;3.23529411764706
"8";16;14560;3.23529411764706
"9";21;14560;2.76470588235294
"10";23;14560;2.70588235294118
"11";26;14560;2.76470588235294
"12";28;14560;2.76470588235294
"13";31;14560;1
"14";33;14398;3.47058823529412
"15";34;14398;2.47058823529412
"16";35;14398;2.41176470588235
"17";36;14398;2.47058823529412
"18";38;14398;1.17647058823529
"19";39;14398;1.17647058823529
"20";41;14398;1
"21";44;14259;2.29411764705882
"22";45;14259;2.29411764705882
"23";48;14259;1.29411764705882
"24";53;14097;3.70588235294118
"25";56;14097;1.52941176470588
"26";58;14097;1.35294117647059
"27";59;14097;1
"28";62;13958;2.05882352941176
"29";63;13958;2
"30";64;13958;1.52941176470588
"31";65;13958;1.41176470588235
"32";67;13958;1
"33";70;13796;3.88235294117647
"34";75;13796;1.64705882352941
"35";77;13796;1.64705882352941
"36";79;13796;1.41176470588235
"37";80;13796;1.58823529411765
"38";81;13796;1
"39";83;13657;3.94117647058824
"40";86;13657;1
"41";89;13495;1.64705882352941
"42";90;13495;1.64705882352941
"43";91;13495;1.05882352941177
"44";92;13333;4.05882352941176
"45";95;13333;1.17647058823529
"46";98;13333;1.11764705882353
"47";102;13333;1.05882352941177
"48";104;13194;4.11764705882353
"49";108;13194;1.23529411764706
"50";109;13194;1.05882352941177
"51";112;13032;1.58823529411765
"52";113;13032;1.35294117647059
"53";114;12894;4.23529411764706
"54";116;12894;1.64705882352941
"55";119;12894;1.41176470588235
"56";121;12894;1.05882352941177
"57";126;12731;5.11764705882353
"58";130;12731;5.17647058823529
"59";131;12731;4.35294117647059
"60";135;12731;1.41176470588235
"61";136;12731;1.05882352941177
"62";138;12593;5.94117647058824
"63";144;12593;4.41176470588235
"64";146;12593;1.58823529411765
"65";147;12593;1.47058823529412
"66";149;12431;6.11764705882353
"67";150;12431;6.05882352941176
"68";151;12431;4.64705882352941
"69";156;12431;1.52941176470588
"70";162;12292;6.1764705882353
"71";164;12292;4.52941176470588
"72";167;12292;1.58823529411765
"73";168;12292;1.58823529411765
"74";174;12130;6.29411764705882
"75";175;12130;6.29411764705882
"76";176;12130;4.35294117647059
"77";177;12130;4.35294117647059
"78";179;12130;1.64705882352941
"79";180;12130;1.58823529411765
"80";185;11968;4.29411764705882
"81";189;11829;8.64705882352941
"82";192;11829;8.17647058823529
"83";194;11829;6.41176470588235
"84";195;11829;6.41176470588235
"85";196;11829;4.1764705882353
"86";197;11829;4.1764705882353
"87";199;11829;2.35294117647059
"88";200;11829;1.88235294117647
"89";203;11829;1.35294117647059
"90";205;11829;1.64705882352941
"91";208;11667;8.52941176470588
"92";210;11667;8
"93";211;11667;7.94117647058824
"94";215;11667;2.47058823529412
"95";216;11667;2.47058823529412
"96";219;11667;1.70588235294118
"97";221;11667;1.35294117647059
"98";223;11528;8.52941176470588
"99";228;11528;4
"100";233;11528;1.82352941176471
"101";235;11528;1.82352941176471
"102";237;11528;1.35294117647059
"103";240;11366;8.47058823529412
"104";241;11366;8.41176470588235
"105";245;11366;3.94117647058824
"106";247;11366;1.64705882352941
"107";249;11227;8.70588235294118
"108";250;11227;8.64705882352941
"109";253;11227;8.52941176470588
"110";254;11227;8.52941176470588
"111";258;11227;8.05882352941176
"112";259;11227;8.05882352941176
"113";260;11227;8.05882352941176
"114";262;11227;7.76470588235294
"115";269;11227;1.58823529411765
"116";270;11065;8.82352941176471
"117";272;11065;8.76470588235294
"118";274;11065;7.76470588235294
"119";277;11065;7.8235294117647
"120";279;11065;3.76470588235294
"121";281;11065;2.64705882352941
"122";282;11065;2.64705882352941
"123";283;11065;1.41176470588235
"124";284;11065;1.35294117647059
"125";288;11065;1.41176470588235
"126";289;11065;1.41176470588235
"127";293;10926;7.70588235294118
"128";297;10926;3.70588235294118
"129";298;10926;3.70588235294118
"130";300;10926;2.70588235294118
"131";302;10764;9
"132";305;10764;7.52941176470588
"133";306;10764;7.23529411764706
"134";308;10764;7.23529411764706
"135";310;10764;6.58823529411765
"136";311;10764;6.58823529411765
"137";313;10764;3.52941176470588
"138";314;10764;3.58823529411765
"139";318;10625;9.11764705882353
"140";320;10625;8.76470588235294
"141";321;10625;8.17647058823529
"142";328;10625;6.47058823529412
"143";329;10625;6.41176470588235
"144";330;10625;3.41176470588235
"145";332;10625;3.41176470588235
"146";333;10625;2.76470588235294
"147";334;10463;9.58823529411765
"148";335;10463;9.64705882352941
"149";337;10463;9.23529411764706
"150";338;10463;9.17647058823529
"151";341;10463;8
"152";343;10463;8
"153";347;10463;7.35294117647059
"154";351;10463;3.11764705882353
"155";357;10301;9.58823529411765
"156";360;10301;8.94117647058824
"157";365;10301;7.64705882352941
"158";367;10301;7.58823529411765
"159";372;10301;7.1764705882353
"160";375;10301;7
"161";376;10301;7
"162";377;10301;7
"163";379;10301;7.05882352941176
"164";383;10301;6.23529411764706
"165";385;10301;2.64705882352941
"166";386;10301;2.64705882352941
"167";387;10301;2.64705882352941
"168";391;10162;9.52941176470588
"169";393;10162;9.35294117647059
"170";397;10162;8.76470588235294
"171";398;10162;8.52941176470588
"172";399;10162;8.52941176470588
"173";401;10162;7.76470588235294
"174";405;10162;6.70588235294118
"175";406;10162;6.23529411764706
"176";407;10162;6.70588235294118
"177";409;10162;2.41176470588235
"178";410;10162;2.41176470588235
"179";411;10162;2.41176470588235
"180";413;10000;9.52941176470588
"181";416;10000;8.82352941176471
"182";418;10000;8.58823529411765
"183";419;10000;8.58823529411765
"184";422;10000;7
